# source: https://assets.lulu.com/media/specs/lulu-print-api-spec-sheet.xlsx
# fetched: 2026-09-03
# products: 3277
legacy_sku,sku,book_type,min_page,max_page,trim_width_in,trim_height_in,trim_width_mm,trim_height_mm,bleed_width_in,bleed_height_in,bleed_width_mm,bleed_height_mm,interior_color,print_quality,bind,interior_number,paper_type,interior_ppi,lamination,linen_color,foil_color
0425X0687FCSTDPB060UW444MXX,0425X0687.FC.STD.PB.060UW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Perfect,60.0,60# Uncoated White,444.0,Matte,X,X
0425X0687FCSTDPB080CW444GXX,0425X0687.FC.STD.PB.080CW444.GXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Perfect,80.0,80# Coated White,444.0,Gloss,X,X
0425X0687FCSTDPB080CW444MXX,0425X0687.FC.STD.PB.080CW444.MXX,Pocketbook,32.0,800.0,4.25,6.875,108.0,175.0,4.5,7.125,114.35,181.35,Full Color,Standard,Perfect,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWPRECO060UC444GXX,0500X0800.BW.PRE.CO.060UC444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,60.0,60# Uncoated Cream,444.0,Gloss,X,X
0500X0800BWPRECO060UC444MXX,0500X0800.BW.PRE.CO.060UC444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,60.0,60# Uncoated Cream,444.0,Matte,X,X
0500X0800BWPRECO060UW444GXX,0500X0800.BW.PRE.CO.060UW444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,60.0,60# Uncoated White,444.0,Gloss,X,X
0500X0800BWPRECO060UW444MXX,0500X0800.BW.PRE.CO.060UW444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,60.0,60# Uncoated White,444.0,Matte,X,X
0500X0800BWPRECO080CW444GXX,0500X0800.BW.PRE.CO.080CW444.GXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,80.0,80# Coated White,444.0,Gloss,X,X
0500X0800BWPRECO080CW444MXX,0500X0800.BW.PRE.CO.080CW444.MXX,Novella,2.0,470.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Coil,80.0,80# Coated White,444.0,Matte,X,X
0500X0800BWPRECW060UC444GXX,0500X0800.BW.PRE.CW.060UC444.GXX,Novella,24.0,800.0,5.0,8.0,127.0,203.0,5.25,8.25,146.35,222.35,Black & White,Premium,Case Wrap,60.0,60# Uncoated Cream,444.0,Gloss,X,X
